recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_title
16,6,2326.0800000000004,4,2,2,422,Platinum
54,9,3437.3699999999994,2,4,3,243,Silver
58,5,4597.2699999999995,2,2,4,224,Silver
54,5,1313.8600000000001,2,2,1,221,Silver
64,8,2245.43,2,4,2,242,Silver
53,7,3717.21,2,3,3,233,Silver
16,6,1767.3899999999999,4,2,1,421,Platinum
41,3,1726.61,3,1,1,311,Silver
1,7,3328.45,4,3,3,433,Platinum
17,8,4445.37,4,4,4,444,Platinum
39,6,1220.6100000000001,3,2,1,321,Gold
19,7,4418.9,3,3,4,334,Gold
7,13,5402.469999999999,4,4,4,444,Platinum
60,8,3507.13,2,4,3,243,Silver
8,6,2516.35,4,2,2,422,Platinum
10,8,4278.6,4,4,4,444,Platinum
202,4,2456.51,1,1,2,112,Bronze
24,7,2724.29,3,3,2,332,Gold
197,4,2308.04,1,1,2,112,Bronze
157,3,550.0,1,1,1,111,Bronze
116,7,5192.72,1,3,4,134,Bronze
110,4,2533.4099999999994,1,1,2,112,Bronze
42,9,5279.19,3,4,4,344,Gold
57,7,4222.63,2,3,4,234,Silver
11,5,263.5399999999999,4,2,1,421,Platinum
50,6,2904.69,2,2,3,223,Silver
18,3,3473.3199999999997,4,1,3,413,Platinum
5,9,2488.9000000000005,4,4,2,442,Platinum
37,5,2623.84,3,2,2,322,Gold
28,4,1884.8700000000001,3,1,2,312,Gold
51,6,5753.879999999999,2,2,4,224,Silver
10,8,3749.56,4,4,3,443,Platinum
76,6,2728.9999999999995,2,2,2,222,Silver
97,5,2596.17,1,2,2,122,Bronze
146,3,2481.28,1,1,2,112,Bronze
12,4,3839.45,4,1,3,413,Platinum
34,6,3308.0899999999997,3,2,3,323,Gold
86,7,3872.9999999999995,2,3,3,233,Silver
73,4,2132.7900000000004,2,1,2,212,Silver
84,5,1939.2,2,2,2,222,Silver
85,8,6260.02,2,4,4,244,Silver
41,5,2459.7599999999993,3,2,2,322,Gold
19,5,3802.78,3,2,3,323,Gold
6,7,4375.9800000000005,4,3,4,434,Platinum
8,11,5513.28,4,4,4,444,Platinum
116,4,1542.17,1,1,1,111,Bronze
62,6,5393.05,2,2,4,224,Silver
50,3,3633.1399999999994,2,1,3,213,Silver
2,5,2058.7,4,2,2,422,Platinum
115,6,3008.86,1,2,3,123,Bronze
0,3,1396.6200000000003,4,1,1,411,Gold
33,6,2894.85,3,2,3,323,Gold
71,5,940.36,2,2,1,221,Silver
94,4,1746.2199999999998,1,1,1,111,Bronze
62,10,3551.2400000000002,2,4,3,243,Silver
7,6,2244.19,4,2,2,422,Platinum
20,7,5428.94,3,3,4,334,Gold
15,5,1478.67,4,2,1,421,Platinum
42,8,2431.6,3,4,2,342,Gold
37,5,2073.8100000000004,3,2,2,322,Gold
8,6,812.7199999999999,4,2,1,421,Platinum
81,4,2967.8,2,1,3,213,Silver
12,3,541.3299999999999,4,1,1,411,Gold
64,6,3650.4999999999995,2,2,3,223,Silver
39,8,5678.4,3,4,4,344,Gold
50,9,5027.490000000001,2,4,4,244,Silver
10,5,3763.92,4,2,3,423,Platinum
7,5,2400.83,4,2,2,422,Platinum
16,8,4659.0,4,4,4,444,Platinum
21,6,1879.14,3,2,2,322,Gold
11,4,3996.6,4,1,3,413,Platinum
76,3,1295.96,2,1,1,211,Bronze
55,3,976.24,2,1,1,211,Bronze
106,8,4618.11,1,4,4,144,Bronze
32,6,2215.5600000000004,3,2,2,322,Gold
62,3,1905.88,2,1,2,212,Silver
1,5,4928.8,4,2,4,424,Platinum
10,10,4034.46,4,4,3,443,Platinum
11,4,502.12,4,1,1,411,Gold
30,6,7109.399999999999,3,2,4,324,Gold
44,6,3368.2,3,2,3,323,Gold
175,3,2145.83,1,1,2,112,Bronze
146,5,3243.2999999999997,1,2,3,123,Bronze
39,7,6431.6900000000005,3,3,4,334,Gold
83,4,2685.62,2,1,2,212,Silver
61,8,4581.46,2,4,4,244,Silver
255,4,1891.1000000000001,1,1,2,112,Bronze
59,10,3806.14,2,4,3,243,Silver
158,3,2410.24,1,1,2,112,Bronze
12,6,3777.5299999999997,4,2,3,423,Platinum
14,6,1857.27,4,2,2,422,Platinum
34,8,2164.0800000000004,3,4,2,342,Gold
11,8,4227.84,4,4,4,444,Platinum
20,10,7212.17,3,4,4,344,Gold
4,7,6579.619999999999,4,3,4,434,Platinum
87,5,2934.4399999999996,1,2,3,123,Bronze
15,8,3489.9599999999996,4,4,3,443,Platinum
23,8,5073.2699999999995,3,4,4,344,Gold
3,11,7321.499999999999,4,4,4,444,Platinum
54,3,2965.7599999999993,2,1,3,213,Silver
61,6,3970.03,2,2,3,223,Silver
25,9,6411.76,3,4,4,344,Gold
1,10,10497.779999999999,4,4,4,444,Platinum
14,7,3182.99,4,3,3,433,Platinum
25,5,2695.4,3,2,2,322,Gold
64,5,3269.1200000000003,2,2,3,223,Silver
46,10,8210.300000000001,2,4,4,244,Silver
89,3,1140.1499999999999,1,1,1,111,Bronze
87,4,3025.33,1,1,3,113,Bronze
11,6,4151.86,4,2,3,423,Platinum
54,7,4480.09,2,3,4,234,Silver
69,8,4706.86,2,4,4,244,Silver
1,10,4842.2,4,4,4,444,Platinum
61,4,2083.73,2,1,2,212,Silver
148,5,1091.14,1,2,1,121,Bronze
10,6,1246.11,4,2,1,421,Platinum
89,5,4599.29,1,2,4,124,Bronze
23,5,1267.6799999999998,3,2,1,321,Gold
11,4,2066.03,4,1,2,412,Platinum
43,6,1779.1599999999999,3,2,1,321,Gold
35,2,571.3799999999999,3,1,1,311,Silver
46,9,3516.0,2,4,3,243,Silver
80,9,1830.7199999999998,2,4,1,241,Silver
58,6,5391.709999999999,2,2,4,224,Silver
130,2,96.62,1,1,1,111,Bronze
20,8,2952.01,3,4,3,343,Gold
15,8,7727.17,4,4,4,444,Platinum
210,2,93.00999999999999,1,1,1,111,Bronze
95,3,847.22,1,1,1,111,Bronze
25,6,2121.61,3,2,2,322,Gold
72,5,2946.73,2,2,3,223,Silver
27,2,165.57999999999998,3,1,1,311,Silver
23,9,2956.48,3,4,3,343,Gold
26,9,4847.05,3,4,4,344,Gold
145,5,1896.39,1,2,2,122,Bronze
85,5,2347.98,2,2,2,222,Silver
74,6,3894.51,2,2,3,223,Silver
79,3,1364.06,2,1,1,211,Bronze
24,10,5070.62,3,4,4,344,Gold
16,6,2271.9300000000003,4,2,2,422,Platinum
42,5,2438.84,3,2,2,322,Gold
5,9,5580.570000000001,4,4,4,444,Platinum
19,8,5070.24,3,4,4,344,Gold
49,6,4457.4800000000005,2,2,4,224,Silver
124,6,3155.81,1,2,3,123,Bronze
2,6,4423.8,4,2,4,424,Platinum
72,8,5907.35,2,4,4,244,Silver
143,1,144.26,1,1,1,111,Bronze
58,7,2862.3300000000004,2,3,3,233,Silver
13,9,2201.86,4,4,2,442,Platinum
27,6,3184.33,3,2,3,323,Gold
245,4,916.3199999999999,1,1,1,111,Bronze
82,5,2465.81,2,2,2,222,Silver
88,3,798.6200000000001,1,1,1,111,Bronze
125,5,2256.31,1,2,2,122,Bronze
25,6,3627.169999999999,3,2,3,323,Gold
96,5,3498.86,1,2,3,123,Bronze
143,2,304.07,1,1,1,111,Bronze
18,6,1813.12,4,2,1,421,Platinum
9,7,3828.74,4,3,3,433,Platinum
75,10,6646.0,2,4,4,244,Silver
39,7,4228.66,3,3,4,334,Gold
4,8,2892.7599999999998,4,4,3,443,Platinum
14,8,4889.11,4,4,4,444,Platinum
123,6,3819.0,1,2,3,123,Bronze
17,6,3295.65,4,2,3,423,Platinum
1,10,4778.33,4,4,4,444,Platinum
22,7,4248.669999999999,3,3,4,334,Gold
18,5,2785.9800000000005,4,2,2,422,Platinum
6,7,3815.93,4,3,3,433,Platinum
21,4,2277.96,3,1,2,312,Gold
21,3,1691.81,3,1,1,311,Silver
85,6,3239.48,2,2,3,223,Silver
182,2,254.62999999999994,1,1,1,111,Bronze
95,6,2893.2,1,2,3,123,Bronze
66,6,1746.5500000000002,2,2,1,221,Silver
41,3,3065.9,3,1,3,313,Gold
122,6,2795.75,1,2,2,122,Bronze
31,4,2189.57,3,1,2,312,Gold
80,4,2491.13,2,1,2,212,Silver
123,3,2119.72,1,1,2,112,Bronze
45,4,492.7399999999999,2,1,1,211,Bronze
68,4,945.1599999999999,2,1,1,211,Bronze
174,3,496.61999999999995,1,1,1,111,Bronze
197,2,566.34,1,1,1,111,Bronze
50,5,1633.61,2,2,1,221,Silver
48,3,2154.13,2,1,2,212,Silver
27,6,5081.3,3,2,4,324,Gold
53,4,1098.3999999999999,2,1,1,211,Bronze
16,5,2328.9300000000003,4,2,2,422,Platinum
40,6,3028.8399999999997,3,2,3,323,Gold
43,5,2558.04,3,2,2,322,Gold
3,10,4534.03,4,4,4,444,Platinum
33,5,2925.75,3,2,3,323,Gold
329,1,802.26,1,1,1,111,Bronze
23,6,5811.3,3,2,4,324,Gold
9,4,4137.78,4,1,3,413,Platinum
10,8,2315.9700000000003,4,4,2,442,Platinum
4,4,1454.6100000000004,4,1,1,411,Gold
49,8,4014.42,2,4,3,243,Silver
79,5,1378.3899999999999,2,2,1,221,Silver
12,6,4600.24,4,2,4,424,Platinum
149,6,2506.27,1,2,2,122,Bronze
11,5,1883.59,4,2,2,422,Platinum
17,12,8868.619999999999,4,4,4,444,Platinum
25,8,4776.1,3,4,4,344,Gold
18,4,722.3,4,1,1,411,Gold
7,8,3225.92,4,4,3,443,Platinum
72,4,1768.44,2,1,1,211,Bronze
157,3,1335.81,1,1,1,111,Bronze
41,4,1966.0800000000002,3,1,2,312,Gold
38,6,3320.09,3,2,3,323,Gold
150,7,8330.089999999998,1,3,4,134,Bronze
55,4,2137.1800000000003,2,1,2,212,Silver
2,6,2372.09,4,2,2,422,Platinum
31,9,4730.32,3,4,4,344,Gold
97,4,1314.03,1,1,1,111,Bronze
82,3,2129.34,2,1,2,212,Silver
114,4,2521.58,1,1,2,112,Bronze
140,4,1964.5200000000002,1,1,2,112,Bronze
27,6,4284.21,3,2,4,324,Gold
34,8,2838.72,3,4,2,342,Gold
9,4,3245.1199999999994,4,1,3,413,Platinum
64,9,7263.659999999999,2,4,4,244,Silver
8,4,2074.13,4,1,2,412,Platinum
104,4,3050.76,1,1,3,113,Bronze
1,7,2912.65,4,3,3,433,Platinum
24,5,3721.919999999999,3,2,3,323,Gold
11,6,2708.6,4,2,2,422,Platinum
18,6,2289.06,4,2,2,422,Platinum
91,4,3530.12,1,1,3,113,Bronze
54,5,1009.34,2,2,1,221,Silver
54,1,309.80999999999995,2,1,1,211,Bronze
69,4,703.62,2,1,1,211,Bronze
46,6,4499.38,2,2,4,224,Silver
121,7,4261.0,1,3,4,134,Bronze
98,5,4753.84,1,2,4,124,Bronze
293,6,4743.7,1,2,4,124,Bronze
83,6,5534.83,2,2,4,224,Silver
100,7,3818.9700000000003,1,3,3,133,Bronze
54,8,3502.86,2,4,3,243,Silver
171,1,75.48000000000002,1,1,1,111,Bronze
31,5,3226.46,3,2,3,323,Gold
46,8,2786.56,2,4,2,242,Silver
63,6,4796.959999999999,2,2,4,224,Silver
16,3,1171.02,4,1,1,411,Gold
17,9,4918.87,4,4,4,444,Platinum
79,3,2809.75,2,1,2,212,Silver
76,4,852.5000000000001,2,1,1,211,Bronze
62,3,1751.7199999999998,2,1,1,211,Bronze
147,3,2481.43,1,1,2,112,Bronze
112,5,4571.93,1,2,4,124,Bronze
1,5,2770.85,4,2,2,422,Platinum
7,3,863.6799999999998,4,1,1,411,Gold
1,7,4067.65,4,3,3,433,Platinum
39,8,5247.44,3,4,4,344,Gold
68,5,2278.7000000000003,2,2,2,222,Silver
36,5,2357.69,3,2,2,322,Gold
165,4,1561.06,1,1,1,111,Bronze
12,5,2197.68,4,2,2,422,Platinum
75,7,4868.87,2,3,4,234,Silver
48,8,3564.27,2,4,3,243,Silver
61,3,1867.17,2,1,2,212,Silver
38,4,1669.89,3,1,1,311,Silver
98,7,4883.1,1,3,4,134,Bronze
205,1,179.44,1,1,1,111,Bronze
49,6,1274.48,2,2,1,221,Silver
12,4,780.7,4,1,1,411,Gold
82,4,3812.88,2,1,3,213,Silver
14,9,6003.05,4,4,4,444,Platinum
16,9,3401.85,4,4,3,443,Platinum
37,4,1496.79,3,1,1,311,Silver
105,8,3553.2799999999997,1,4,3,143,Bronze
16,9,4473.87,4,4,4,444,Platinum
26,7,1370.3700000000001,3,3,1,331,Gold
4,7,2880.1,4,3,3,433,Platinum
189,5,5289.219999999999,1,2,4,124,Bronze
272,2,1346.38,1,1,1,111,Bronze
56,5,633.3499999999998,2,2,1,221,Silver
40,7,4164.21,3,3,3,333,Gold
113,4,2625.44,1,1,2,112,Bronze
106,5,2530.93,1,2,2,122,Bronze
28,5,1260.1299999999999,3,2,1,321,Gold
36,4,3465.07,3,1,3,313,Gold
35,8,5392.89,3,4,4,344,Gold
16,5,4066.2400000000002,4,2,3,423,Platinum
80,9,4458.889999999999,2,4,4,244,Silver
90,6,4144.19,1,2,3,123,Bronze
44,8,7516.02,3,4,4,344,Gold
188,1,41.13,1,1,1,111,Bronze
32,7,3337.16,3,3,3,333,Gold
109,9,3544.44,1,4,3,143,Bronze
12,9,4371.16,4,4,4,444,Platinum
12,6,1414.17,4,2,1,421,Platinum
295,3,1982.12,1,1,2,112,Bronze
11,8,2798.72,4,4,2,442,Platinum
56,5,2540.3499999999995,2,2,2,222,Silver
21,3,1206.71,3,1,1,311,Silver
70,5,2890.06,2,2,3,223,Silver
3,6,2121.73,4,2,2,422,Platinum
0,5,2817.63,4,2,2,422,Platinum
0,8,4899.5999999999985,4,4,4,444,Platinum
53,7,5502.11,2,3,4,234,Silver
32,12,9244.9,3,4,4,344,Gold
15,5,2680.15,4,2,2,422,Platinum
61,9,4819.03,2,4,4,244,Silver
31,4,1818.27,3,1,1,311,Silver
52,5,3256.1400000000003,2,2,3,223,Silver
33,10,11668.949999999999,3,4,4,344,Gold
143,4,2859.4700000000003,1,1,3,113,Bronze
112,7,6038.52,1,3,4,134,Bronze
85,8,1978.0099999999998,2,4,2,242,Silver
14,7,3812.269999999999,4,3,3,433,Platinum
2,8,6305.6,4,4,4,444,Platinum
80,5,2981.5200000000004,2,2,3,223,Silver
100,3,1422.85,1,1,1,111,Bronze
88,6,3644.4899999999993,1,2,3,123,Bronze
6,6,1740.6100000000001,4,2,1,421,Platinum
46,5,3569.9799999999996,2,2,3,223,Silver
11,9,5191.52,4,4,4,444,Platinum
113,4,3624.0,1,1,3,113,Bronze
13,7,1429.36,4,3,1,431,Platinum
173,3,936.9799999999998,1,1,1,111,Bronze
38,5,2632.09,3,2,2,322,Gold
34,6,2183.71,3,2,2,322,Gold
76,6,2178.44,2,2,2,222,Silver
78,4,3516.370000000001,2,1,3,213,Silver
64,3,1035.3100000000002,2,1,1,211,Bronze
2,7,2344.0,4,3,2,432,Platinum
60,12,4779.13,2,4,4,244,Silver
1,5,2018.6,4,2,2,422,Platinum
60,4,3867.7399999999993,2,1,3,213,Silver
13,4,527.74,4,1,1,411,Gold
66,4,3798.3500000000004,2,1,3,213,Silver
35,7,4422.26,3,3,4,334,Gold
17,5,2793.0499999999997,4,2,2,422,Platinum
33,5,2840.8100000000004,3,2,2,322,Gold
48,5,4015.7799999999997,2,2,3,223,Silver
175,2,2158.9999999999995,1,1,2,112,Bronze
8,8,6639.849999999999,4,4,4,444,Platinum
6,6,3250.13,4,2,3,423,Platinum
170,6,3830.68,1,2,3,123,Bronze
41,5,2449.15,3,2,2,322,Gold
192,5,2890.84,1,2,3,123,Bronze
5,5,3756.9100000000003,4,2,3,423,Platinum
177,5,3071.88,1,2,3,123,Bronze
25,7,2867.0,3,3,3,333,Gold
55,6,943.9300000000001,2,2,1,221,Silver
56,8,2294.43,2,4,2,242,Silver
14,4,1690.91,4,1,1,411,Gold
75,8,4272.969999999999,2,4,4,244,Silver
22,8,5180.259999999999,3,4,4,344,Gold
112,2,243.94,1,1,1,111,Bronze
25,5,4207.5,3,2,4,324,Gold
11,7,2353.4900000000002,4,3,2,432,Platinum
147,6,2655.6,1,2,2,122,Bronze
95,2,1500.3600000000001,1,1,1,111,Bronze
0,9,2738.89,4,4,2,442,Platinum
42,5,2069.64,3,2,2,322,Gold
11,7,6764.669999999999,4,3,4,434,Platinum
59,7,2923.2899999999995,2,3,3,233,Silver
322,2,585.45,1,1,1,111,Bronze
54,10,8611.949999999999,2,4,4,244,Silver
0,9,5383.48,4,4,4,444,Platinum
42,7,2884.19,3,3,3,333,Gold
155,4,2254.56,1,1,2,112,Bronze
47,9,5300.38,2,4,4,244,Silver
203,6,3600.94,1,2,3,123,Bronze
159,5,4365.25,1,2,4,124,Bronze
37,8,4687.53,3,4,4,344,Gold
20,7,3601.96,3,3,3,333,Gold
17,4,2523.5299999999997,4,1,2,412,Platinum
54,5,2385.0099999999998,2,2,2,222,Silver
126,3,386.36,1,1,1,111,Bronze
242,3,1399.44,1,1,1,111,Bronze
9,4,2704.3900000000003,4,1,2,412,Platinum
95,6,2463.79,1,2,2,122,Bronze
4,7,3933.79,4,3,3,433,Platinum
26,6,2136.87,3,2,2,322,Gold
66,6,1087.02,2,2,1,221,Silver
226,3,2858.8900000000003,1,1,3,113,Bronze
26,5,2497.8,3,2,2,322,Gold
42,5,2842.9,3,2,2,322,Gold
89,4,1531.9,1,1,1,111,Bronze
28,8,5048.26,3,4,4,344,Gold
83,5,6444.49,2,2,4,224,Silver
125,2,492.65,1,1,1,111,Bronze
34,8,4560.56,3,4,4,344,Gold
60,8,1800.12,2,4,1,241,Silver
29,6,1313.78,3,2,1,321,Gold
24,6,1449.4399999999998,3,2,1,321,Gold
8,7,7562.68,4,3,4,434,Platinum
30,6,3660.06,3,2,3,323,Gold
39,8,4698.6,3,4,4,344,Gold
46,3,1463.88,2,1,1,211,Bronze
30,8,3191.12,3,4,3,343,Gold
14,9,8220.05,4,4,4,444,Platinum
104,2,1033.56,1,1,1,111,Bronze
13,3,485.4600000000001,4,1,1,411,Gold
162,5,3787.0,1,2,3,123,Bronze
73,8,2368.44,2,4,2,242,Silver
52,7,5258.999999999999,2,3,4,234,Silver
161,4,1768.4300000000003,1,1,1,111,Bronze
20,4,2292.5099999999998,3,1,2,312,Gold
35,3,2771.37,3,1,2,312,Gold
154,8,6933.55,1,4,4,144,Bronze
113,3,2038.58,1,1,2,112,Bronze
52,5,1985.1000000000001,2,2,2,222,Silver
57,8,2213.9300000000003,2,4,2,242,Silver
133,7,2830.94,1,3,2,132,Bronze
32,10,4486.320000000001,3,4,4,344,Gold
26,6,2535.63,3,2,2,322,Gold
179,5,1294.6899999999998,1,2,1,121,Bronze
0,6,3260.3199999999997,4,2,3,423,Platinum
139,3,1566.26,1,1,1,111,Bronze
5,8,3406.16,4,4,3,443,Platinum
206,2,343.24,1,1,1,111,Bronze
24,7,3954.42,3,3,3,333,Gold
48,4,3130.44,2,1,3,213,Silver
116,3,759.5700000000002,1,1,1,111,Bronze
22,2,1618.8300000000002,3,1,1,311,Silver
187,6,2475.2799999999997,1,2,2,122,Bronze
24,6,1137.94,3,2,1,321,Gold
2,6,4450.85,4,2,4,424,Platinum
46,6,3112.69,2,2,3,223,Silver
139,3,1398.3999999999999,1,1,1,111,Bronze
79,6,2753.32,2,2,2,222,Silver
166,3,1396.98,1,1,1,111,Bronze
232,2,741.97,1,1,1,111,Bronze
4,14,4841.71,4,4,4,444,Platinum
204,5,1982.69,1,2,2,122,Bronze
0,4,3559.49,4,1,3,413,Platinum
39,6,3359.09,3,2,3,323,Gold
46,3,2102.32,2,1,2,212,Silver
17,6,2723.9900000000002,4,2,2,422,Platinum
16,8,4053.6800000000003,4,4,3,443,Platinum
67,6,2242.12,2,2,2,222,Silver
9,12,8104.54,4,4,4,444,Platinum
5,6,1658.4500000000003,4,2,1,421,Platinum
18,5,899.97,4,2,1,421,Platinum
17,4,2306.99,4,1,2,412,Platinum
47,3,1857.6200000000001,2,1,2,212,Silver
11,5,3227.89,4,2,3,423,Platinum
266,2,880.99,1,1,1,111,Bronze
4,11,6580.56,4,4,4,444,Platinum
64,4,1081.65,2,1,1,211,Bronze
13,9,4705.65,4,4,4,444,Platinum
14,3,1521.5700000000002,4,1,1,411,Gold
13,6,3595.32,4,2,3,423,Platinum
151,7,2349.29,1,3,2,132,Bronze
71,7,1529.0100000000002,2,3,1,231,Silver
4,10,4183.81,4,4,4,444,Platinum
202,5,1245.27,1,2,1,121,Bronze
99,9,7159.69,1,4,4,144,Bronze
43,7,3632.3,3,3,3,333,Gold
14,4,4498.339999999999,4,1,4,414,Platinum
55,5,2086.85,2,2,2,222,Silver
188,3,666.7899999999998,1,1,1,111,Bronze
8,8,3879.14,4,4,3,443,Platinum
110,2,183.1999999999999,1,1,1,111,Bronze
45,3,1051.23,2,1,1,211,Bronze
113,5,4267.42,1,2,4,124,Bronze
21,8,5025.44,3,4,4,344,Gold
32,12,7367.88,3,4,4,344,Gold
11,7,2568.9700000000003,4,3,2,432,Platinum
16,2,2712.5699999999997,4,1,2,412,Platinum
24,9,5691.610000000001,3,4,4,344,Gold
48,6,1972.03,2,2,2,222,Silver
12,4,1338.61,4,1,1,411,Gold
208,3,683.2,1,1,1,111,Bronze
17,6,4574.099999999999,4,2,4,424,Platinum
20,7,2561.15,3,3,2,332,Gold
108,3,1217.23,1,1,1,111,Bronze
26,9,6072.4800000000005,3,4,4,344,Gold
64,4,1774.12,2,1,1,211,Bronze
2,9,4631.2300000000005,4,4,4,444,Platinum
7,3,4053.9199999999996,4,1,3,413,Platinum
136,10,3427.64,1,4,3,143,Bronze
38,4,1858.97,3,1,2,312,Gold
98,7,5235.71,1,3,4,134,Bronze
1,6,1785.8300000000004,4,2,1,421,Platinum
7,2,327.07000000000016,4,1,1,411,Gold
26,5,3026.3900000000003,3,2,3,323,Gold
10,5,4235.799999999999,4,2,4,424,Platinum
44,3,2742.04,3,1,2,312,Gold
29,5,2839.93,3,2,2,322,Gold
19,4,2135.37,3,1,2,312,Gold
136,4,2285.05,1,1,2,112,Bronze
26,5,3388.35,3,2,3,323,Gold
26,13,6790.69,3,4,4,344,Gold
117,5,3784.98,1,2,3,123,Bronze
53,8,6295.5199999999995,2,4,4,244,Silver
44,9,3640.6199999999994,3,4,3,343,Gold
17,7,5295.089999999999,4,3,4,434,Platinum
3,7,1733.79,4,3,1,431,Platinum
164,3,1758.9800000000002,1,1,1,111,Bronze
35,6,3451.8299999999995,3,2,3,323,Gold
5,9,4837.1900000000005,4,4,4,444,Platinum
124,6,5174.44,1,2,4,124,Bronze
69,4,1434.57,2,1,1,211,Bronze
6,13,8533.23,4,4,4,444,Platinum
133,5,772.1,1,2,1,121,Bronze
38,4,1841.73,3,1,2,312,Gold
4,5,3277.77,4,2,3,423,Platinum
17,7,5961.25,4,3,4,434,Platinum
13,2,1172.58,4,1,1,411,Gold
73,2,1294.4,2,1,1,211,Bronze
165,6,4173.67,1,2,4,124,Bronze
8,3,1689.75,4,1,1,411,Gold
188,4,2393.31,1,1,2,112,Bronze
103,5,6308.28,1,2,4,124,Bronze
75,5,3449.31,2,2,3,223,Silver
24,8,4516.14,3,4,4,344,Gold
17,5,2501.7799999999997,4,2,2,422,Platinum
131,6,958.31,1,2,1,121,Bronze
29,7,2332.45,3,3,2,332,Gold
40,4,2559.66,3,1,2,312,Gold
85,7,5037.46,2,3,4,234,Silver
2,7,4888.97,4,3,4,434,Platinum
6,4,2352.28,4,1,2,412,Platinum
163,3,684.5199999999999,1,1,1,111,Bronze
12,4,2669.74,4,1,2,412,Platinum
136,4,1675.3100000000002,1,1,1,111,Bronze
48,5,1775.0100000000002,2,2,1,221,Silver
153,3,346.88999999999993,1,1,1,111,Bronze
10,9,3286.3500000000004,4,4,3,443,Platinum
14,6,2539.71,4,2,2,422,Platinum
10,4,2641.9300000000003,4,1,2,412,Platinum
59,7,6128.860000000001,2,3,4,234,Silver
62,7,4318.2,2,3,4,234,Silver
86,5,3351.7,2,2,3,223,Silver
34,9,3879.3199999999997,3,4,3,343,Gold
44,5,3329.4700000000003,3,2,3,323,Gold
108,3,348.6199999999999,1,1,1,111,Bronze
218,2,1153.84,1,1,1,111,Bronze
77,4,842.1499999999999,2,1,1,211,Bronze
87,8,2447.0499999999997,1,4,2,142,Bronze
44,8,5167.23,3,4,4,344,Gold
7,4,5068.44,4,1,4,414,Platinum
59,4,2305.1099999999997,2,1,2,212,Silver
44,10,4513.0599999999995,3,4,4,344,Gold
5,7,4046.1299999999997,4,3,3,433,Platinum
153,5,4140.91,1,2,3,123,Bronze
5,6,4314.89,4,2,4,424,Platinum
9,3,773.8100000000002,4,1,1,411,Gold
33,6,2437.23,3,2,2,322,Gold
58,4,1130.52,2,1,1,211,Bronze
18,2,2299.82,4,1,2,412,Platinum
47,4,1472.66,2,1,1,211,Bronze
6,6,2008.23,4,2,2,422,Platinum
43,8,1339.2700000000002,3,4,1,341,Gold
79,5,1397.3799999999999,2,2,1,221,Silver
36,4,962.2199999999998,3,1,1,311,Silver
28,8,4148.57,3,4,3,343,Gold
19,5,3463.8100000000004,3,2,3,323,Gold
18,6,1455.3799999999999,4,2,1,421,Platinum
7,4,1559.1300000000003,4,1,1,411,Gold
68,6,2323.9199999999996,2,2,2,222,Silver
43,8,2037.32,3,4,2,342,Gold
79,9,4075.17,2,4,3,243,Silver
82,3,807.37,2,1,1,211,Bronze
85,3,592.29,2,1,1,211,Bronze
7,1,830.2399999999999,4,1,1,411,Gold
24,2,183.15999999999997,3,1,1,311,Silver
22,9,5828.49,3,4,4,344,Gold
83,2,889.72,2,1,1,211,Bronze
13,7,1126.07,4,3,1,431,Platinum
77,5,3238.37,2,2,3,223,Silver
131,2,1809.69,1,1,1,111,Bronze
234,4,1495.94,1,1,1,111,Bronze
71,3,2331.63,2,1,2,212,Silver
69,7,5490.29,2,3,4,234,Silver
23,4,3652.09,3,1,3,313,Gold
77,8,3118.98,2,4,3,243,Silver
7,4,2156.72,4,1,2,412,Platinum
10,7,3270.61,4,3,3,433,Platinum
50,6,4540.57,2,2,4,224,Silver
4,3,2015.72,4,1,2,412,Platinum
66,5,2476.2700000000004,2,2,2,222,Silver
9,7,1500.4900000000002,4,3,1,431,Platinum
51,3,667.99,2,1,1,211,Bronze
34,8,2235.3,3,4,2,342,Gold
47,8,4988.3099999999995,2,4,4,244,Silver
58,4,2078.59,2,1,2,212,Silver
24,5,937.4400000000005,3,2,1,321,Gold
61,12,4101.860000000001,2,4,3,243,Silver
132,4,922.34,1,1,1,111,Bronze
19,9,3005.6299999999997,3,4,3,343,Gold
76,2,617.98,2,1,1,211,Bronze
175,2,1718.6100000000001,1,1,1,111,Bronze
4,9,5011.9,4,4,4,444,Platinum
14,9,6634.14,4,4,4,444,Platinum
85,8,2231.4600000000005,2,4,2,242,Silver
81,3,3476.1599999999994,2,1,3,213,Silver
41,5,3588.56,3,2,3,323,Gold
23,11,6961.5199999999995,3,4,4,344,Gold
101,5,1110.02,1,2,1,121,Bronze
38,7,1795.3000000000002,3,3,1,331,Gold
5,4,3015.0499999999993,4,1,3,413,Platinum
75,7,1844.56,2,3,2,232,Silver
17,3,1100.8200000000002,4,1,1,411,Gold
70,10,5127.43,2,4,4,244,Silver
71,7,2596.23,2,3,2,232,Silver
114,2,1769.48,1,1,1,111,Bronze
90,4,2848.9400000000005,1,1,3,113,Bronze
67,1,182.81000000000017,2,1,1,211,Bronze
106,5,4269.85,1,2,4,124,Bronze
35,10,6093.26,3,4,4,344,Gold
61,4,1481.07,2,1,1,211,Bronze
9,7,4548.3099999999995,4,3,4,434,Platinum
4,4,1948.45,4,1,2,412,Platinum
37,7,3436.5000000000005,3,3,3,333,Gold
78,3,287.3099999999999,2,1,1,211,Bronze
